How often do you experience mistakes or inaccuracies in the metadata of academic events?,"Organizers
 (N = 543) ","Organizers, %","
Scholars (N = 727) 

","Scholars, % ",Total              (N = 1270),"Total, %"
1 (Very seldom),42,7.73,49,6.74,91,7.17
2 (Seldom),221,40.70,283,38.93,504,39.69
3 (Occasionally),123,22.65,189,26.00,312,24.57
4 (Frequently),136,25.05,158,21.73,294,23.15
5 (Very often),21,3.87,48,6.60,69,5.43
