How satisfied are you with the general quality of metadata of academic events in Ukraine?,"Organizers
 N = 543 ","Organizers, %","
Scholars N = 727 

","Scholars, % ",Total            (N = 1270),"Total, %"
1 (Very dissatisfied),21,3.87,20,2.75,41,3.24
2 (Dissatisfied),100,18.42,63,8.67,163,12.83
3 (Neutral),97,17.86,138,18.98,235,18.50
4 (Satisfied),212,39.04,333,45.80,545,42.91
5 (Very satisfied),113,20.81,173,23.80,286,22.52
